year,borough,postcode,Lat,Lon,crimes
2013-14,BROOKLYN ,11205,40.696324,-73.97578,0
2013-14,BROOKLYN ,11205,40.696324,-73.97578,0
2013-14,BROOKLYN ,11205,40.696324,-73.97578,12
2013-14,BROOKLYN ,11203,40.657131,-73.928018,1
2013-14,BROOKLYN ,11210,40.637711,-73.948159,1
2013-14,BROOKLYN ,11205,40.690202,-73.961478,0
2013-14,BROOKLYN ,11205,40.690202,-73.961478,0
2013-14,BROOKLYN ,11205,40.690202,-73.961478,1
2013-14,BROOKLYN ,11233,40.677805,-73.915843,0
2013-14,BROOKLYN ,11233,40.677805,-73.915843,0
2013-14,BRONX    ,10473,40.818467,-73.868372,3
2013-14,BROOKLYN ,11213,40.674656,-73.927794,8
2013-14,BROOKLYN ,11233,40.677805,-73.915843,0
2013-14,BROOKLYN ,11233,40.677805,-73.915843,32
2013-14,BROOKLYN ,11236,40.635916,-73.886412,2
2013-14,BROOKLYN ,11207,40.657922,-73.879354,0
2013-14,BROOKLYN ,11221,40.694921,-73.927931,1
2013-14,BROOKLYN ,11212,40.656068,-73.907245,0
2013-14,BROOKLYN ,11212,40.656068,-73.907245,0
2013-14,BROOKLYN ,11212,40.656068,-73.907245,0
2013-14,BROOKLYN ,11212,40.656068,-73.907245,0
2013-14,BROOKLYN ,11212,40.656068,-73.907245,11
2013-14,BROOKLYN ,11236,40.634085,-73.907925,0
2013-14,BROOKLYN ,11229,40.596145,-73.928793,0
2013-14,BROOKLYN ,11229,40.60665,-73.939176,11
2013-14,BROOKLYN ,11236,40.644203,-73.892264,0
2013-14,BROOKLYN ,11214,40.595341,-73.993457,10
2013-14,BROOKLYN ,11212,40.667377,-73.908214,6
2013-14,BROOKLYN ,11203,40.646877,-73.920977,11
2013-14,BROOKLYN ,11235,40.591109,-73.9391,5
2013-14,BROOKLYN ,11201,40.697901,-73.98054,0
2013-14,BROOKLYN ,11224,40.574411,-73.99194,2
2013-14,BROOKLYN ,11213,40.674794,-73.942639,2
2013-14,BROOKLYN ,11207,40.67789,-73.889758,1
2013-14,BROOKLYN ,11221,40.695362,-73.915142,0
2013-14,BROOKLYN ,11221,40.695362,-73.915142,0
2013-14,BROOKLYN ,11221,40.695362,-73.915142,0
2013-14,BROOKLYN ,11221,40.695362,-73.915142,14
2013-14,BROOKLYN ,11207,40.671544,-73.892844,0
2013-14,BROOKLYN ,11207,40.671987,-73.893896,0
2013-14,BROOKLYN ,11201,40.685419,-73.993351,0
2013-14,BROOKLYN ,11201,40.685419,-73.993351,0
2013-14,BROOKLYN ,11201,40.685419,-73.993351,0
2013-14,BROOKLYN ,11201,40.685419,-73.993351,25
2013-14,BROOKLYN ,11207,40.688387,-73.910276,0
2013-14,BROOKLYN ,11207,40.688387,-73.910276,0
2013-14,BROOKLYN ,11207,40.688387,-73.910276,16
2013-14,BROOKLYN ,11206,40.697781,-73.947809,0
2013-14,BROOKLYN ,11206,40.697781,-73.947809,0
2013-14,BROOKLYN ,11206,40.697781,-73.947809,0
2013-14,BROOKLYN ,11212,40.670986,-73.908194,0
2013-14,BROOKLYN ,11212,40.670986,-73.908194,0
2013-14,QUEENS   ,11364,40.736177,-73.753159,0
2013-14,BROOKLYN ,11212,40.670986,-73.908194,11
2013-14,BROOKLYN ,11221,40.691077,-73.918152,3
2013-14,BROOKLYN ,11208,40.677104,-73.883433,0
2013-14,BROOKLYN ,11207,40.655997,-73.886547,10
2013-14,BROOKLYN ,11208,40.677104,-73.883433,0
2013-14,BROOKLYN ,11208,40.677104,-73.883433,0
2013-14,BROOKLYN ,11208,40.677104,-73.883433,0
2013-14,BROOKLYN ,11208,40.677104,-73.883433,33
2013-14,BROOKLYN ,11224,40.582533,-73.973132,0
2013-14,BROOKLYN ,11224,40.5825,-73.973122,0
2013-14,BROOKLYN ,11224,40.5825,-73.973122,0
2013-14,BROOKLYN ,11224,40.582533,-73.973132,16
2013-14,BROOKLYN ,11206,40.694086,-73.940744,0
2013-14,BROOKLYN ,11206,40.694086,-73.940744,0
2013-14,BROOKLYN ,11206,40.694086,-73.940744,2
2013-14,BROOKLYN ,11216,40.686076,-73.945229,0
2013-14,BROOKLYN ,11216,40.686076,-73.945229,0
2013-14,BROOKLYN ,11216,40.686076,-73.945229,10
2013-14,BROOKLYN ,11201,40.701343,-73.982314,0
2013-14,BROOKLYN ,11201,40.701343,-73.982314,0
2013-14,BROOKLYN ,11201,40.701343,-73.982314,3
2013-14,BROOKLYN ,11221,40.688695,-73.935499,0
2013-14,BROOKLYN ,11221,40.688695,-73.935499,0
2013-14,BROOKLYN ,11221,40.688695,-73.935499,3
2013-14,BROOKLYN ,11221,40.688419,-73.924833,0
2013-14,BROOKLYN ,11221,40.688419,-73.924833,0
2013-14,BROOKLYN ,11221,40.688419,-73.924833,4
2013-14,BROOKLYN ,11219,40.632478,-74.007645,0
2013-14,BROOKLYN ,11234,40.621413,-73.908987,0
2013-14,BROOKLYN ,11201,40.694682,-73.988853,0
2013-14,BROOKLYN ,11201,40.694682,-73.988853,0
2013-14,BROOKLYN ,11201,40.694682,-73.988853,11
2013-14,BROOKLYN ,11220,40.642121,-74.018997,0
