OBJECTID,PROVIDER,LAT,LON,LOCATION_T,BORONAME
148,AT&T,40.7432,-73.8443,Outdoor,Queens
149,LinkNYC - Citybridge,40.590983,-74.100732,Outdoor Kiosk,Staten Island
150,LinkNYC - Citybridge,40.598523,-74.082329,Outdoor Kiosk,Staten Island
151,LinkNYC - Citybridge,40.565852,-74.114224,Outdoor Kiosk,Staten Island
152,LinkNYC - Citybridge,40.57262,-74.113383,Outdoor Kiosk,Staten Island
153,LinkNYC - Citybridge,40.563843,-74.116075,Outdoor Kiosk,Staten Island
154,LinkNYC - Citybridge,40.5721,-74.112674,Outdoor Kiosk,Staten Island
155,LinkNYC - Citybridge,40.571782,-74.108614,Outdoor Kiosk,Staten Island
156,LinkNYC - Citybridge,40.576811,-74.103565,Outdoor Kiosk,Staten Island
157,LinkNYC - Citybridge,40.597715,-74.083828,Outdoor Kiosk,Staten Island
158,LinkNYC - Citybridge,40.581304,-74.11201,Outdoor Kiosk,Staten Island
159,LinkNYC - Citybridge,40.57285,-74.107539,Outdoor Kiosk,Staten Island
160,LinkNYC - Citybridge,40.598002,-74.08305,Outdoor Kiosk,Staten Island
161,LinkNYC - Citybridge,40.579634,-74.100652,Outdoor Kiosk,Staten Island
162,LinkNYC - Citybridge,40.573466,-74.106917,Outdoor Kiosk,Staten Island
163,LinkNYC - Citybridge,40.564789,-74.115318,Outdoor Kiosk,Staten Island
164,LinkNYC - Citybridge,40.579839,-74.100012,Outdoor Kiosk,Staten Island
165,LinkNYC - Citybridge,40.578802,-74.101669,Outdoor Kiosk,Staten Island
166,LinkNYC - Citybridge,40.571437,-74.108959,Outdoor Kiosk,Staten Island
167,LinkNYC - Citybridge,40.575553,-74.104816,Outdoor Kiosk,Staten Island
168,LinkNYC - Citybridge,40.581677,-74.11135,Outdoor Kiosk,Staten Island
169,LinkNYC - Citybridge,40.587385,-74.103708,Outdoor Kiosk,Staten Island
170,LinkNYC - Citybridge,40.589032,-74.101684,Outdoor Kiosk,Staten Island
171,LinkNYC - Citybridge,40.591436,-74.100862,Outdoor Kiosk,Staten Island
172,LinkNYC - Citybridge,40.589908,-74.100904,Outdoor Kiosk,Staten Island
173,LinkNYC - Citybridge,40.561755,-74.112161,Outdoor Kiosk,Staten Island
174,SPECTRUM,40.824131,-73.942464,Indoor,Manhattan
175,SPECTRUM,40.824131,-73.942464,Indoor,Manhattan
176,SPECTRUM,40.718812,-73.88536,Outdoor TWC Aerial,Queens
177,SPECTRUM,40.720231,-73.877806,Outdoor,Queens
178,SPECTRUM,40.720598,-73.877337,Outdoor,Queens
179,SPECTRUM,40.721026,-73.877935,Outdoor,Queens
180,SPECTRUM,40.71921,-73.885335,Outdoor TWC Aerial,Queens
181,Downtown Brooklyn,40.689319,-73.987162,Outdoor,Brooklyn
182,Downtown Brooklyn,40.694693,-73.983849,Outdoor,Brooklyn
183,Downtown Brooklyn,40.694693,-73.983849,Outdoor,Brooklyn
184,Downtown Brooklyn,40.693721,-73.983328,Outdoor,Brooklyn
185,Downtown Brooklyn,40.693721,-73.983328,Outdoor,Brooklyn
186,Downtown Brooklyn,40.69335,-73.985788,Outdoor,Brooklyn
187,Downtown Brooklyn,40.69335,-73.985788,Outdoor,Brooklyn
188,Downtown Brooklyn,40.686371,-73.978541,Outdoor,Brooklyn
189,Downtown Brooklyn,40.686371,-73.978541,Outdoor,Brooklyn
190,Downtown Brooklyn,40.692723,-73.983025,Outdoor,Brooklyn
191,Downtown Brooklyn,40.690406,-73.983931,Outdoor,Brooklyn
192,Downtown Brooklyn,40.690406,-73.983931,Outdoor,Brooklyn
193,Downtown Brooklyn,40.692087,-73.982587,Outdoor,Brooklyn
194,Downtown Brooklyn,40.692087,-73.982587,Outdoor,Brooklyn
195,Downtown Brooklyn,40.69189,-73.982488,Outdoor,Brooklyn
196,Downtown Brooklyn,40.693625,-73.988519,Outdoor,Brooklyn
197,Downtown Brooklyn,40.693636,-73.988347,Outdoor,Brooklyn
198,Downtown Brooklyn,40.693636,-73.988347,Outdoor,Brooklyn
199,Downtown Brooklyn,40.693636,-73.988347,Outdoor,Brooklyn
200,Downtown Brooklyn,40.693636,-73.988347,Outdoor,Brooklyn
201,Downtown Brooklyn,40.693636,-73.988347,Outdoor,Brooklyn
202,Downtown Brooklyn,40.693636,-73.988347,Outdoor,Brooklyn
203,Downtown Brooklyn,40.69401,-73.986706,Outdoor,Brooklyn
204,Downtown Brooklyn,40.69401,-73.986706,Outdoor,Brooklyn
205,Downtown Brooklyn,40.69401,-73.986706,Outdoor,Brooklyn
206,Downtown Brooklyn,40.69401,-73.986706,Outdoor,Brooklyn
207,Downtown Brooklyn,40.69401,-73.986706,Outdoor,Brooklyn
208,Downtown Brooklyn,40.689942,-73.982158,Outdoor,Brooklyn
209,Downtown Brooklyn,40.689942,-73.982158,Outdoor,Brooklyn
210,Downtown Brooklyn,40.691738,-73.988131,Outdoor,Brooklyn
211,Downtown Brooklyn,40.691738,-73.988131,Outdoor,Brooklyn
212,Downtown Brooklyn,40.693348,-73.987419,Outdoor,Brooklyn
213,Downtown Brooklyn,40.692417,-73.987117,Outdoor,Brooklyn
214,Downtown Brooklyn,40.692417,-73.987117,Outdoor,Brooklyn
215,Downtown Brooklyn,40.692417,-73.987117,Outdoor,Brooklyn
216,Downtown Brooklyn,40.692178,-73.988304,Outdoor,Brooklyn
217,Downtown Brooklyn,40.692023,-73.988433,Outdoor,Brooklyn
218,Downtown Brooklyn,40.691976,-73.988311,Outdoor,Brooklyn
219,Downtown Brooklyn,40.692174,-73.988669,Outdoor,Brooklyn
220,Downtown Brooklyn,40.692178,-73.988304,Outdoor,Brooklyn
221,Downtown Brooklyn,40.690364,-73.984435,Outdoor,Brooklyn
222,Downtown Brooklyn,40.690364,-73.984435,Outdoor,Brooklyn
223,Downtown Brooklyn,40.690883,-73.989635,Outdoor,Brooklyn
224,Downtown Brooklyn,40.690883,-73.989635,Outdoor,Brooklyn
225,Downtown Brooklyn,40.689985,-73.991995,Outdoor,Brooklyn
226,Downtown Brooklyn,40.689906,-73.991944,Outdoor,Brooklyn
227,LinkNYC - Citybridge,40.703928,-73.79847,Outdoor Kiosk,Queens
228,LinkNYC - Citybridge,40.70402,-73.79869,Outdoor Kiosk,Queens
229,LinkNYC - Citybridge,40.703452,-73.800352,Outdoor Kiosk,Queens
230,LinkNYC - Citybridge,40.703352,-73.799923,Outdoor Kiosk,Queens
231,Downtown Brooklyn,40.689997,-73.992,Outdoor,Brooklyn
232,Downtown Brooklyn,40.690022,-73.991897,Outdoor,Brooklyn
233,Downtown Brooklyn,40.695578,-73.98397,Outdoor,Brooklyn
234,Downtown Brooklyn,40.689924,-73.988117,Outdoor,Brooklyn
235,Downtown Brooklyn,40.689924,-73.988117,Outdoor,Brooklyn
236,Downtown Brooklyn,40.689319,-73.987162,Outdoor,Brooklyn
237,Downtown Brooklyn,40.690296,-73.987846,Outdoor,Brooklyn
238,Downtown Brooklyn,40.689319,-73.987162,Outdoor,Brooklyn
239,LinkNYC - Citybridge,40.705971,-73.793787,Outdoor Kiosk,Queens
240,LinkNYC - Citybridge,40.706357,-73.792205,Outdoor Kiosk,Queens
241,LinkNYC - Citybridge,40.702734,-73.802019,Outdoor Kiosk,Queens
242,LinkNYC - Citybridge,40.703769,-73.799343,Outdoor Kiosk,Queens
243,LinkNYC - Citybridge,40.570312,-74.109657,Outdoor Kiosk,Staten Island
244,LinkNYC - Citybridge,40.577771,-74.10231,Outdoor Kiosk,Staten Island
245,LinkNYC - Citybridge,40.570635,-74.109918,Outdoor Kiosk,Staten Island
246,LinkNYC - Citybridge,40.572853,-74.114087,Outdoor Kiosk,Staten Island
247,NYPL,40.79591999,-73.96784852,Library,Manhattan
248,NYPL,40.8476919,-73.78636659,Library,Bronx
249,BPL,40.64220845,-73.89952442,Library,Brooklyn
250,BPL,40.58699996,-73.95542836,Library,Brooklyn
251,NYPL,40.90043991,-73.867942,Library,Bronx
252,BPL,40.67525519,-74.01035129,Library,Brooklyn
253,BPL,40.67537085,-73.94856614,Library,Brooklyn
254,QPL,40.74515052,-73.71483776,Library,Queens
255,NYPL,40.87437981,-73.87838435,Library,Bronx
256,QPL,40.59314678,-73.78404003,Library,Queens
257,NYPL,40.83451521,-73.93967458,Library,Manhattan
258,BPL,40.59135705,-73.92396467,Library,Brooklyn
259,BPL,40.72605066,-73.95069029,Library,Brooklyn
260,NYPL,40.84467409,-73.88304469,Library,Bronx
261,NYPL,40.81159621,-73.92436634,Library,Bronx
262,QPL,40.70701056,-73.75379667,Library,Queens
263,NYPL,40.77065254,-73.95134169,Library,Manhattan
265,NYPL,40.76218602,-73.9693817,Library,Manhattan
266,NYPL,40.72730731,-73.98040767,Library,Manhattan
267,QPL,40.77238289,-73.92871881,Library,Queens
268,BPL,40.68481005,-73.91513242,Library,Brooklyn
269,NYPL,40.87050192,-73.82865793,Library,Bronx
270,NYPL,40.50953112,-74.24410671,Library,Staten Island
271,NYPL,40.82567237,-73.94803242,Library,Manhattan
272,NYPL,40.88032228,-73.90798337,Library,Bronx
273,QPL,40.71988555,-73.73904382,Library,Queens
274,NYPL,40.80297988,-73.95353074,Library,Manhattan
275,NYPL,40.8337363,-73.85835522,Library,Bronx
276,QPL,40.72591849,-73.82071907,Library,Queens
277,NYPL,40.7859598,-73.95180567,Library,Manhattan
278,NYPL,40.76493462,-73.99122082,Library,Manhattan
279,NYPL,40.62623761,-74.07784609,Library,Staten Island
280,QPL,40.76822543,-73.73822944,Library,Queens
281,NYPL,40.75189156,-73.98169851,Library,Manhattan
282,NYPL,40.63758562,-74.13110462,Library,Staten Island
283,BPL,40.67270609,-73.87403349,Library,Brooklyn
284,QPL,40.7552002,-73.94422389,Library,Queens
285,BPL,40.69748225,-73.91221062,Library,Brooklyn
286,NYPL,40.59581815,-74.06298047,Library,Staten Island
287,BPL,40.59523686,-73.96059937,Library,Brooklyn
